citing_assignee_organization,cpc_subclass_title,citation_count
Dana Canada Corporation,Casings; Header boxes; Auxiliary supports for elements; Auxiliary members within casings-Casings in the form of plate-like arrangements; Frames enclosing a heat exchange core-with fastening means for other structures,2
DigiLens Inc.,"Optical systems or apparatus not provided for by any of the groups G02B1/00 - G02B26/00, G02B30/00-Head-up displays-Head mounted-characterised by optical features",2
"ETHICON ENDO-SURGERY, INC","Surgical instruments, devices or methods for transferring non-mechanical forms of energy to or from the body -by heating -by passing a current through the tissue to be heated, e.g. high-frequency current-Probes or electrodes therefor-Probes having pivoting end effectors, e.g. forceps-at the distal end of a shaft, e.g. forceps or scissors at the end of a rigid rod",2
"Emerson Climate Technologies (Suzhou) Co., Ltd.","Rotary-piston pumps specially adapted for elastic fluids -of arcuate-engagement type, i.e. with circular translatory movement of co-operating members, each member having the same number of teeth or tooth-equivalents-both members having co-operating elements in spiral form-where only one member is moving",2
Emerson Electric Co.,Details of apparatus for conversion-Circuits or arrangements for compensating for or adjusting power factor in converters or inverters,2
Exbiblio B.V.,Information retrieval; Database structures therefor; File system structures therefor-Details of database functions independent of the retrieved data types-Retrieval from the web-Indexing; Web crawling techniques,2
Exro Technologies Inc.,"Arrangements for controlling electric generators for the purpose of obtaining a desired output -Arrangements for obtaining a constant output value at varying speed of the generator, e.g. on vehicle",2
FAIRCHILD SEMICONDUCTOR CORPORATION,"Semiconductor devices adapted for rectifying, amplifying, oscillating or switching, or capacitors or resistors with at least one potential-jump barrier or surface barrier, e.g. PN junction depletion layer or carrier concentration layer; Details of semiconductor bodies or of electrodes thereof; ; Multistep manufacturing processes therefor-Types of semiconductor device ; ; Multistep manufacturing processes therefor-controllable by only the electric current supplied, or only the electric potential applied, to an electrode which does not carry the current to be rectified, amplified or switched-Unipolar devices ; , e.g. field effect transistors-Field effect transistors-with field effect produced by an insulated gate -DMOS transistors, i.e. MISFETs with a channel accommodating body or base region adjoining a drain drift region -Vertical DMOS transistors, i.e. VDMOS transistors-with trench gate electrode, e.g. UMOS transistors",2
FEI Company,"Discharge tubes with provision for introducing objects or material to be exposed to the discharge, e.g. for the purpose of examination or processing thereof -Electron or ion microscopes; Electron or ion diffraction tubes-with scanning beams",2
"FIRSTFACE CO., LTD.","Commerce, e.g. shopping or e-commerce-Marketing, e.g. market research and analysis, surveying, promotions, advertising, buyer profiling, customer management or rewards; Price estimation or determination-Advertisement-Targeted advertisement-during computer stand-by mode",2
"FUJI ELECTRIC CO., LTD.","Semiconductor devices adapted for rectifying, amplifying, oscillating or switching, or capacitors or resistors with at least one potential-jump barrier or surface barrier, e.g. PN junction depletion layer or carrier concentration layer; Details of semiconductor bodies or of electrodes thereof; ; Multistep manufacturing processes therefor-Types of semiconductor device ; ; Multistep manufacturing processes therefor-controllable by only the electric current supplied, or only the electric potential applied, to an electrode which does not carry the current to be rectified, amplified or switched-Bipolar devices-Transistor-type devices, i.e. able to continuously respond to applied control signals-controlled by field-effect, ; e.g. bipolar static induction transistors [BSIT] -Insulated gate bipolar mode transistors, i.e. IGBT; IGT; COMFET-on an insulating layer or substrate, e.g. thin film device or device isolated from the bulk substrate",2
FUJIKOKI CORPORATION,Fluid-circulation arrangements-Expansion means; Dispositions thereof-Expansion valves,2
"Federal-Mogul Worldwide, Inc.",Sparking plugs-characterised by features of the electrodes or insulation-Selection of materials for electrodes,2
"Ford Global Technologies, LLC","Advancing or retarding ignition; Control therefor-automatically, as a function of the working conditions of the engine or vehicle or of the atmospheric conditions -using electrical means-Digital data processing-using one central computing unit-with particular means during starting",2
"Ford Global Technologies, LLC","Control of position, course or altitude of land, water, air, or space vehicles, e.g. automatic pilot -Control of position or course in two dimensions-specially adapted to land vehicles-using signals provided by a source external to the vehicle -using signals transmitted via a public communication network, e.g. GSM network",2
"Ford Global Technologies, LLC",Electrical control of supply of combustible mixture or its constituents -Circuit arrangements for generating control signals-Introducing corrections for particular operating conditions -for engine starting or warming up -for starting,2
"Ford Global Technologies, LLC",Exhaust or silencing apparatus combined or associated with devices profiting from exhaust energy -the devices using heat,2
"Ford Global Technologies, LLC","Exhaust or silencing apparatus having means for purifying, rendering innocuous, or otherwise treating exhaust -for rendering innocuous -by thermal or catalytic conversion of noxious components of exhaust -characterised by methods of operation; Control-specially adapted for catalytic conversion ; ; Methods of operation or control of catalytic converters-Selective catalytic reduction [SCR]",2
Ford Motor Company,"Heating, cooling or ventilating ; [HVAC];  devices -Control systems or circuits; Control members or indication devices for heating, cooling or ventilating devices -Construction or arrangement of damper doors -Damper doors moved by rotation; Grilles-the door being a rotating disc or cylinder or part thereof",2
Fujitsu Limited,"Details not covered by groups G06F3/00 – G06F13/00 and G06F21/00 -Constructional details or arrangements-Cooling means-for portable computers, e.g. for laptops",2
